Transaction_ID,Customer_ID,Category,Units_Sold,Unit_Price,Date,Revenue,Cost,Profit
1,4174,Electronics,8,601,2025-04-11,4808,3990.6220543895033,817.3779456104967
2,4507,Sports,4,1783,2025-08-08,7132,4326.274970508768,2805.725029491232
3,1860,Furniture,6,1738,2025-05-18,10428,5345.1084821134145,5082.8915178865855
4,2294,Furniture,5,1461,2025-06-05,7305,4168.189166092339,3136.8108339076607
5,2130,Groceries,4,813,2025-09-19,3252,1734.9320963486882,1517.0679036513118
6,2095,Furniture,9,790,2025-03-14,7110,5129.042153777881,1980.9578462221189
7,4772,Clothing,3,1066,2025-10-07,3198,2238.772854670458,959.227145329542
8,4092,Electronics,1,522,2025-02-21,522,312.1667712538317,209.8332287461683
9,2638,Electronics,7,515,2025-03-23,3605,3017.0353772769427,587.9646227230573
10,3169,Electronics,8,1162,2025-11-20,9296,6175.644394982439,3120.355605017561
11,1466,Sports,3,1607,2025-10-10,4821,4279.266229539816,541.7337704601841
12,2238,Sports,3,1385,2025-09-26,4155,2464.9839104903126,1690.0160895096874
13,1330,Clothing,6,351,2025-03-16,2106,1577.4343748216631,528.5656251783369
14,2482,Furniture,2,1193,2025-05-27,2386,1952.2345527679727,433.7654472320273
15,3135,Sports,6,745,2025-06-10,4470,2573.0793923324572,1896.9206076675428
16,4444,Furniture,5,767,2025-07-25,3835,3134.361241865489,700.6387581345111
17,4171,Furniture,7,1046,2025-09-26,7322,6250.904590027652,1071.0954099723476
18,3919,Sports,9,508,2025-09-20,4572,3507.131276808009,1064.8687231919912
19,4735,Sports,9,1996,2025-10-16,17964,15419.79387555372,2544.2061244462802
20,1130,Clothing,1,139,2025-06-09,139,91.32131107164317,47.678688928356834
21,2685,Groceries,7,165,2025-02-14,1155,763.1128182397566,391.8871817602434
22,4380,Electronics,3,724,2025-11-08,2172,1102.0134414275976,1069.9865585724024
23,1769,Sports,4,449,2025-08-17,1796,1471.9880128710643,324.01198712893574
24,3391,Sports,2,1573,2025-10-29,3146,1614.6756212145622,1531.3243787854378
25,2515,Furniture,1,1689,2025-08-14,1689,1022.7759026587014,666.2240973412986
26,4485,Groceries,3,1733,2025-10-02,5199,3889.347949351303,1309.6520506486968
27,3853,Sports,9,1856,2025-04-10,16704,12412.318842310906,4291.681157689094
28,3433,Groceries,1,159,2025-08-16,159,110.05815274787753,48.94184725212247
29,2215,Electronics,3,249,2025-07-10,747,558.0568062611404,188.94319373885958
30,1955,Furniture,5,841,2025-03-11,4205,2644.525916280949,1560.4740837190511
31,3324,Clothing,3,1298,2025-09-08,3894,2264.282041368921,1629.717958631079
32,2184,Electronics,4,641,2025-09-04,2564,1582.4785708073314,981.5214291926686
33,1459,Groceries,4,1036,2025-11-06,4144,2482.353024274315,1661.646975725685
34,4385,Groceries,1,812,2025-11-02,812,545.3807607539334,266.6192392460666
35,1021,Electronics,6,1293,2025-11-17,7758,6232.064429056949,1525.935570943051
36,3300,Groceries,7,1885,2025-10-28,13195,8313.79799212305,4881.202007876949
37,1747,Clothing,7,1727,2025-01-30,12089,7764.982420027303,4324.017579972697
38,3904,Clothing,6,122,2025-03-20,732,570.2092030273278,161.79079697267218
39,4632,Groceries,7,927,2025-11-25,6489,5614.986022935734,874.0139770642663
40,1474,Groceries,3,766,2025-09-04,2298,1388.271471818353,909.7285281816471
41,2082,Clothing,5,484,2025-11-13,2420,1922.1074119248685,497.89258807513147
42,3558,Groceries,7,1991,2025-08-09,13937,10446.178840045046,3490.821159954954
43,4753,Sports,5,1807,2025-05-10,9035,6401.3006743564765,2633.6993256435235
44,3047,Furniture,2,1745,2025-06-07,3490,1771.6488662107736,1718.3511337892264
45,4547,Sports,6,641,2025-06-23,3846,2508.7354888727696,1337.2645111272304
46,3747,Groceries,7,164,2025-09-04,1148,668.3097576662133,479.6902423337867
47,1975,Groceries,2,74,2025-03-09,148,82.29890849309731,65.70109150690269
48,2806,Furniture,8,226,2025-05-27,1808,1103.2448066994423,704.7551933005577
49,1189,Groceries,5,1352,2025-01-05,6760,5145.85275070254,1614.14724929746
50,4005,Furniture,8,342,2025-03-14,2736,1957.2870305879585,778.7129694120415
51,3734,Clothing,3,1293,2025-07-31,3879,2617.4633024442755,1261.5366975557245
52,4005,Furniture,2,1076,2025-02-26,2152,1200.8717556621177,951.1282443378823
53,1562,Furniture,7,1901,2025-02-21,13307,10796.160038214732,2510.8399617852683
54,2899,Sports,5,364,2025-02-28,1820,1260.2562571505675,559.7437428494325
55,4638,Groceries,5,1480,2025-11-12,7400,5609.802917822787,1790.197082177213
56,2267,Clothing,8,1618,2025-05-03,12944,6662.600887615505,6281.399112384495
57,3879,Electronics,9,743,2025-03-21,6687,5730.212765453639,956.7872345463611
58,2528,Furniture,8,600,2025-08-29,4800,3394.5655256281084,1405.4344743718916
59,4202,Electronics,2,1226,2025-03-25,2452,1568.7340778602422,883.2659221397578
60,4556,Groceries,7,112,2025-04-13,784,651.3213499243093,132.6786500756907
61,4890,Furniture,5,1162,2025-06-10,5810,4791.49746278877,1018.5025372112304
62,1646,Electronics,7,152,2025-05-20,1064,625.6510052071999,438.3489947928001
63,3068,Sports,3,1926,2025-11-08,5778,3746.684337012729,2031.315662987271
64,3888,Electronics,4,1576,2025-05-31,6304,4678.991094600292,1625.008905399708
65,3214,Sports,7,1772,2025-02-18,12404,11156.592495934245,1247.4075040657553
66,2297,Clothing,2,208,2025-06-24,416,338.86503196930425,77.13496803069575
67,3435,Groceries,2,610,2025-03-11,1220,634.3494873644579,585.6505126355421
68,1600,Electronics,1,783,2025-09-12,783,622.0886664589054,160.91133354109456
69,3363,Furniture,1,408,2025-10-28,408,284.07662195134975,123.92337804865025
70,3061,Groceries,1,749,2025-07-23,749,379.9841885759158,369.0158114240842
71,1241,Electronics,6,814,2025-06-12,4884,3326.6695329295912,1557.3304670704088
72,3041,Furniture,5,926,2025-11-24,4630,2921.3307413807483,1708.6692586192517
73,3824,Furniture,8,539,2025-06-04,4312,2336.0296759716925,1975.9703240283075
74,4417,Furniture,5,241,2025-10-30,1205,859.5201139113202,345.4798860886798
75,3612,Furniture,1,293,2025-09-02,293,256.8659908126932,36.13400918730679
76,3945,Electronics,8,1043,2025-10-15,8344,7091.336487984994,1252.6635120150058
77,2363,Clothing,6,983,2025-01-29,5898,4271.311763016147,1626.6882369838531
78,3139,Sports,8,632,2025-07-18,5056,2945.917325013306,2110.082674986694
79,2390,Sports,2,1932,2025-02-22,3864,2109.186805232063,1754.8131947679371
80,4003,Sports,8,1150,2025-04-03,9200,7116.370584917909,2083.6294150820913
81,2478,Clothing,6,782,2025-08-05,4692,3081.609508672516,1610.3904913274841
82,4499,Furniture,1,1928,2025-10-26,1928,1366.490652100368,561.5093478996321
83,3556,Furniture,1,1849,2025-04-10,1849,1499.5278543357872,349.4721456642128
84,1775,Groceries,5,830,2025-04-22,4150,3075.3358697971157,1074.6641302028843
85,1034,Sports,7,843,2025-05-12,5901,3131.604144385432,2769.395855614568
86,3253,Sports,4,1052,2025-04-01,4208,3763.6948326710376,444.3051673289624
87,4152,Furniture,5,955,2025-05-31,4775,2662.4120559619137,2112.5879440380863
88,2955,Sports,3,782,2025-11-12,2346,2092.7145576055077,253.2854423944923
89,2585,Furniture,2,140,2025-10-13,280,196.86130491814467,83.13869508185533
90,4943,Furniture,2,617,2025-02-12,1234,1031.0630125557027,202.9369874442973
91,4459,Furniture,5,437,2025-08-04,2185,1200.8440488402318,984.1559511597682
92,4073,Electronics,4,1691,2025-10-31,6764,5712.3792406551565,1051.6207593448435
93,2021,Electronics,2,1360,2025-09-20,2720,1500.8037406744465,1219.1962593255535
94,4461,Electronics,5,1858,2025-03-28,9290,7952.533732233561,1337.4662677664392
95,3613,Electronics,9,1069,2025-08-18,9621,6514.0227291949905,3106.9772708050095
96,2129,Clothing,8,1977,2025-10-14,15816,13357.636547373764,2458.363452626236
97,4843,Groceries,9,485,2025-04-28,4365,2663.877363754141,1701.1226362458592
98,4893,Groceries,9,1878,2025-08-22,16902,13239.095980932736,3662.904019067264
99,2500,Furniture,8,1966,2025-01-19,15728,12733.593308651742,2994.4066913482584
100,1702,Sports,9,965,2025-02-21,8685,6079.045143922511,2605.9548560774892
101,3449,Electronics,4,96,2025-08-27,384,324.8474071638242,59.15259283617581
102,3777,Groceries,8,1019,2025-11-20,8152,6302.796904111573,1849.203095888427
103,2579,Groceries,2,356,2025-05-14,712,445.58594187931385,266.41405812068615
104,1161,Electronics,9,163,2025-09-09,1467,1278.9509711049132,188.04902889508685
105,1201,Clothing,9,1131,2025-07-30,10179,6473.510214211249,3705.489785788751
106,2981,Clothing,3,93,2025-11-12,279,221.0781806854777,57.92181931452231
107,1995,Groceries,6,403,2025-12-15,2418,1878.9240166798495,539.0759833201505
108,3317,Clothing,7,1304,2025-04-28,9128,5046.092554711883,4081.907445288117
109,4934,Electronics,3,1852,2025-05-20,5556,3729.2177558279504,1826.7822441720496
110,1815,Groceries,5,1056,2025-06-15,5280,3852.8491545587026,1427.1508454412974
111,4342,Electronics,1,1085,2025-05-21,1085,623.3432653334942,461.6567346665058
112,1455,Clothing,3,443,2025-01-28,1329,717.3449265072106,611.6550734927894
113,4533,Electronics,8,766,2025-01-05,6128,4402.906729563943,1725.0932704360566
114,4798,Clothing,3,1639,2025-06-23,4917,2759.9138985721047,2157.0861014278953
115,2275,Clothing,8,1619,2025-10-29,12952,10558.845259168314,2393.1547408316856
116,2016,Electronics,9,809,2025-12-03,7281,6131.6923672686835,1149.3076327313165
117,4773,Clothing,6,1487,2025-06-04,8922,4795.590976910418,4126.409023089582
118,3343,Furniture,7,1984,2025-09-03,13888,10849.565787874919,3038.434212125081
119,4796,Electronics,6,1575,2025-03-03,9450,7492.819068992651,1957.1809310073486
120,3767,Furniture,8,1721,2025-07-15,13768,7248.70594608505,6519.29405391495
121,4820,Electronics,7,279,2025-03-13,1953,1442.344836246575,510.6551637534251
122,1337,Clothing,1,405,2025-03-31,405,303.2232375488279,101.77676245117209
123,1878,Clothing,3,473,2025-04-07,1419,1000.1135242243336,418.88647577566644
124,2076,Groceries,3,549,2025-05-08,1647,1277.9950836799935,369.0049163200065
125,1791,Groceries,3,1351,2025-06-29,4053,2426.8546356295437,1626.1453643704563
126,4993,Furniture,4,1846,2025-06-02,7384,4463.804345947954,2920.195654052046
127,3264,Clothing,1,1553,2025-02-08,1553,1350.3856187845274,202.61438121547258
128,1763,Groceries,2,69,2025-07-14,138,106.4880480557903,31.5119519442097
129,3235,Clothing,5,264,2025-05-27,1320,869.6117173275023,450.38828267249767
130,1379,Electronics,6,793,2025-03-12,4758,3657.280325274434,1100.7196747255662
131,1492,Groceries,9,543,2025-03-18,4887,3906.151143396839,980.848856603161
132,4112,Furniture,2,167,2025-10-07,334,207.37462383281274,126.62537616718726
133,2180,Groceries,9,610,2025-10-28,5490,3886.214696883762,1603.785303116238
134,3062,Clothing,7,1704,2025-09-21,11928,6511.276442942737,5416.723557057263
135,4884,Sports,9,1509,2025-05-10,13581,10056.565472675562,3524.434527324438
136,1064,Sports,4,1523,2025-11-19,6092,4722.380579228159,1369.6194207718409
137,4928,Clothing,7,1732,2025-06-03,12124,9666.16124621305,2457.8387537869494
138,4910,Electronics,1,1803,2025-01-17,1803,1594.2049329292704,208.7950670707296
139,3568,Groceries,8,1813,2025-02-07,14504,8219.550712969858,6284.449287030142
140,2367,Sports,7,1471,2025-11-19,10297,5434.507005525772,4862.492994474228
141,2152,Electronics,7,312,2025-02-26,2184,1915.3661444155853,268.63385558441473
142,3027,Clothing,2,385,2025-06-10,770,584.7722800302703,185.22771996972972
143,3695,Electronics,9,571,2025-12-16,5139,3727.0565943914585,1411.9434056085415
144,2495,Clothing,8,924,2025-03-13,7392,4947.536576199624,2444.4634238003764
145,4134,Groceries,1,1735,2025-12-16,1735,1173.4147998887615,561.5852001112385
146,2162,Electronics,1,1803,2025-11-16,1803,1115.6786147820198,687.3213852179802
147,2522,Groceries,5,1206,2025-10-06,6030,4521.65947581308,1508.3405241869204
148,3640,Electronics,2,1066,2025-01-12,2132,1079.1367167738729,1052.8632832261271
149,1391,Clothing,1,253,2025-12-25,253,181.5648756537563,71.4351243462437
150,2698,Clothing,8,1033,2025-09-08,8264,4324.036275746325,3939.9637242536746
151,1418,Electronics,4,1577,2025-01-08,6308,4980.768093505507,1327.2319064944932
152,3336,Clothing,2,1609,2025-10-21,3218,2847.4714340291853,370.5285659708147
153,1378,Furniture,5,704,2025-02-02,3520,2020.7613765912633,1499.2386234087367
154,2796,Furniture,6,905,2025-12-19,5430,3311.05248184291,2118.94751815709
155,4561,Groceries,8,265,2025-10-28,2120,1516.7971559805126,603.2028440194874
156,3278,Furniture,7,283,2025-03-16,1981,1378.678112928226,602.321887071774
157,4065,Furniture,7,1995,2025-12-29,13965,11542.175243756636,2422.8247562433644
158,3088,Sports,1,1640,2025-08-31,1640,902.4432273688866,737.5567726311134
159,4099,Sports,3,1427,2025-10-26,4281,3087.763791470903,1193.236208529097
160,3182,Sports,3,451,2025-10-08,1353,1175.5975736374955,177.40242636250446
161,1200,Sports,7,1756,2025-01-15,12292,9425.792082930984,2866.207917069016
162,2863,Clothing,2,534,2025-01-10,1068,648.8564439022856,419.1435560977144
163,1779,Groceries,7,439,2025-09-29,3073,1613.4783592972913,1459.5216407027087
164,3977,Groceries,9,222,2025-12-21,1998,1333.904282106151,664.095717893849
165,4104,Furniture,1,842,2025-04-08,842,578.2797279624749,263.7202720375251
166,4119,Groceries,2,556,2025-08-01,1112,615.1762695145251,496.8237304854749
167,1502,Furniture,6,193,2025-11-09,1158,801.4302836308651,356.5697163691349
168,3454,Groceries,2,296,2025-02-15,592,456.24860872729903,135.75139127270097
169,4645,Electronics,2,1513,2025-05-04,3026,2088.5803679131986,937.4196320868014
170,2751,Electronics,5,590,2025-08-20,2950,1742.444431453997,1207.555568546003
171,1804,Groceries,7,369,2025-05-09,2583,2281.722995149331,301.2770048506691
172,3146,Clothing,4,1458,2025-10-08,5832,3184.1811071776756,2647.8188928223244
173,3731,Furniture,6,1709,2025-11-08,10254,7622.329749190932,2631.6702508090684
174,2895,Groceries,3,734,2025-02-15,2202,1743.3385668887415,458.6614331112585
175,3773,Furniture,4,283,2025-09-21,1132,688.2063548243092,443.7936451756908
176,2570,Sports,4,1438,2025-02-10,5752,3749.2537861469987,2002.7462138530013
177,1960,Groceries,4,1611,2025-05-23,6444,4346.5341232803785,2097.4658767196215
178,4810,Clothing,1,1670,2025-02-13,1670,1267.1861017675112,402.8138982324888
179,3660,Sports,4,611,2025-12-04,2444,1722.8344821076466,721.1655178923534
180,2485,Groceries,4,547,2025-09-12,2188,1261.3638301875396,926.6361698124604
181,3690,Electronics,6,716,2025-05-09,4296,3681.7289760495682,614.2710239504318
182,4840,Groceries,9,661,2025-04-21,5949,3841.6204228608844,2107.3795771391156
183,2028,Electronics,6,1492,2025-08-13,8952,5846.015593109293,3105.984406890707
184,4289,Electronics,6,641,2025-07-12,3846,3153.509482676107,692.4905173238931
185,1502,Groceries,7,590,2025-04-27,4130,2949.579808443796,1180.420191556204
186,3814,Groceries,7,1208,2025-12-03,8456,5010.631206362993,3445.368793637007
187,1397,Electronics,1,111,2025-09-12,111,96.10538102981859,14.894618970181412
188,1870,Furniture,8,1144,2025-09-06,9152,7523.606727476394,1628.3932725236064
189,3842,Sports,1,1968,2025-05-18,1968,1456.2757053414248,511.7242946585752
190,1392,Clothing,9,1875,2025-10-25,16875,11894.137382980787,4980.862617019213
191,1206,Groceries,4,993,2025-02-14,3972,3059.0276750151384,912.9723249848616
192,2038,Sports,9,694,2025-04-11,6246,4024.5598273443125,2221.4401726556875
193,2881,Sports,8,166,2025-10-10,1328,1032.7057124555004,295.29428754449964
194,4625,Furniture,9,559,2025-06-16,5031,2592.5638461255453,2438.4361538744547
195,3939,Sports,6,1593,2025-10-12,9558,6307.423876888788,3250.576123111212
196,2484,Groceries,9,1273,2025-01-22,11457,8558.079179389706,2898.920820610294
197,4762,Sports,4,604,2025-12-12,2416,1808.5128919104066,607.4871080895934
198,4646,Groceries,3,1038,2025-12-12,3114,1645.9034776072938,1468.0965223927062
199,1863,Groceries,3,1765,2025-06-29,5295,4171.666171761305,1123.3338282386949
200,3790,Electronics,8,891,2025-03-26,7128,3805.64411291028,3322.35588708972
201,4312,Furniture,2,1842,2025-04-16,3684,2933.69033613887,750.30966386113
202,1563,Clothing,6,599,2025-05-16,3594,3108.0854200365466,485.91457996345343
203,2020,Electronics,9,824,2025-11-18,7416,6601.212467477691,814.7875325223094
204,1095,Clothing,9,386,2025-08-14,3474,2575.670663141243,898.329336858757
205,2923,Groceries,8,233,2025-07-23,1864,1464.4093546159986,399.5906453840014
206,2757,Electronics,8,1569,2025-04-23,12552,7449.9851771811245,5102.0148228188755
207,3532,Sports,1,1503,2025-01-18,1503,976.6534925717259,526.3465074282741
208,4478,Sports,7,1066,2025-12-03,7462,3767.4568542076295,3694.5431457923705
209,3278,Clothing,1,329,2025-05-23,329,269.5110486198597,59.48895138014029
210,3796,Groceries,9,852,2025-09-16,7668,5949.0559054295845,1718.9440945704155
211,2678,Clothing,3,1786,2025-12-07,5358,3231.870210791284,2126.129789208716
212,4242,Furniture,1,1115,2025-03-24,1115,776.0863241162998,338.9136758837002
213,1540,Sports,8,1373,2025-11-11,10984,8692.32522253755,2291.674777462449
214,2059,Electronics,7,565,2025-07-02,3955,3031.964060765326,923.0359392346741
215,3572,Electronics,2,1041,2025-05-02,2082,1308.0127479038117,773.9872520961883
216,2183,Electronics,7,1437,2025-01-11,10059,6517.2071700657,3541.7928299343002
217,4910,Sports,5,168,2025-06-30,840,471.82151230324564,368.17848769675436
218,2722,Groceries,7,1150,2025-11-19,8050,4468.164831833889,3581.8351681661106
219,4314,Sports,7,841,2025-08-08,5887,3896.883248738296,1990.116751261704
220,4157,Sports,2,888,2025-05-17,1776,1228.7499407835048,547.2500592164952
221,2819,Electronics,2,1988,2025-11-09,3976,3499.9897648802917,476.01023511970834
222,3625,Sports,7,1196,2025-06-15,8372,5878.576314062939,2493.4236859370612
223,3729,Electronics,3,1932,2025-09-20,5796,3337.9369633129295,2458.0630366870705
224,3604,Groceries,4,483,2025-02-03,1932,1096.784994522577,835.2150054774229
225,2597,Furniture,7,1475,2025-11-15,10325,6588.416583851991,3736.583416148009
226,4060,Electronics,2,1423,2025-09-22,2846,2468.9678172697486,377.0321827302514
227,3693,Clothing,2,717,2025-12-12,1434,1172.3547111148848,261.6452888851152
228,1795,Furniture,9,1486,2025-07-19,13374,9328.794174766492,4045.205825233508
229,2051,Groceries,1,378,2025-10-02,378,333.5144513876565,44.48554861234351
230,2643,Furniture,3,152,2025-06-23,456,267.30427516377847,188.69572483622153
231,4627,Electronics,4,920,2025-11-08,3680,2479.645034712695,1200.3549652873048
232,2363,Groceries,5,1414,2025-09-23,7070,3537.908968177137,3532.091031822863
233,4869,Clothing,3,1687,2025-04-30,5061,4285.001437666516,775.9985623334842
234,2981,Electronics,9,1976,2025-06-20,17784,10014.765263128193,7769.234736871807
235,2354,Electronics,5,1118,2025-02-09,5590,4936.4170669844725,653.5829330155275
236,2663,Groceries,7,394,2025-07-02,2758,1938.5278046367375,819.4721953632625
237,2529,Groceries,7,459,2025-10-14,3213,2883.9259639223496,329.07403607765036
238,3038,Furniture,9,1573,2025-02-16,14157,10143.848140515887,4013.1518594841127
